020.       2.16688684E-04   1.02174614E-04
022.       2.90208875E-04   8.26343967E-05
025.       3.38296755E-04   7.47250670E-05
029.       3.66827939E-04   6.61905069E-05
033.       4.34125133E-04   5.53176505E-05
040.       3.09717958E-04   5.50989171E-05
045.       3.66455439E-04   5.35677282E-05
050.       2.97077320E-04   4.92685722E-05
059.       2.21021299E-04   4.55629634E-05
067.       2.35908796E-04   4.56006528E-05
077.       1.51049389E-04   4.54470974E-05
091.       1.15099116E-04   4.41890843E-05
100.       1.20963072E-04   4.76828900E-05
111.       1.03897153E-04   5.08168741E-05
125.       1.33784313E-04   5.69060321E-05
143.       1.09712768E-04   6.37235862E-05
