1    3.6004798e-04  6.5754364e-05
2    3.4626148e-04  5.2429830e-05
3    2.5203943e-04  4.1406882e-05
4    3.3556164e-04  3.4482058e-05
5    2.5642930e-04  2.9045945e-05
6    2.8912470e-04  2.3767341e-05
7    2.4792633e-04  2.0345577e-05
8    2.1453383e-04  1.8867329e-05
9    1.7659300e-04  1.6901000e-05
10   1.4134611e-04  1.5777996e-05
11   1.1141425e-04  1.6207006e-05
12   1.3426800e-04  1.5141e000-05 
13   8.3188700e-05  1.6736069e-05
14   9.4029490e-05  1.6392392e-05
15   5.8659170e-05  1.6735141e-05
16   7.2756380e-05  1.8895989e-05
